judul_listing,harga,luas_tanah,luas_bangunan,kamar_tidur,kamar_mandi,lantai,carport,furnished,latitude,longitude,sumber_data
Dijual Rumah Komersil Tengah Kota Surabaya,23000000000,571.0,600.0,9.0,3.0,2.0,2.0,Unfurnished,-7.28917,112.734,rumah123
"Dijual Rumah Baru Gress Dharmahusada Indah, Surabaya Timur",18000000000,600.0,450.0,4.0,5.0,2.0,2.0,Unfurnished,-7.27396,112.748192,rumah123
"Rumah untuk Usaha Jl Sumbawa, Gubeng Sby Utk Kantor, Usaha Lain2",18000000000,571.0,638.0,17.0,3.0,2.0,2.0,Unfurnished,-7.27396,112.74819,rumah123
Rumah Hitung Tanah Jln Biliton Pusat Kota Dimensi 12X45 Meter Bangunan 1 Lantai Dekat Stasiun Gubeng,14000000000,540.0,500.0,2.0,1.0,1.0,4.0,Unfurnished,-7.271999100118336,112.7505408507024,rumah123
"Rumah Komersial Gubeng,Biliton Kertajaya",6600000000,440.0,550.0,5.0,4.0,2.0,1.0,Unfurnished,-7.27396,112.748192,rumah123
"Murah Siap Huni Mojoarum, Dekat Unair, Galaxy Mall, Merr",3250000000,300.0,500.0,2.0,4.0,2.0,,Unfurnished,,,rumah123
"Tinggal 3 Unit ❗❗Dijual Rumah Japandi Modern, Semi Furnished, Siap Huni",2750000000,100.0,175.0,3.0,3.0,2.0,2.0,Semi Furnished,-7.27396,112.748192,rumah123
Jual Rumah Mewah di Graha Family,21000000000,731.0,1000.0,5.0,5.0,5.0,1.0,Unfurnished,,,rumah123
"Dijual Rumah L200m Mojoklangru Surabaya Dekat Rs Mitra, Stasiun - Bandara",3700000000,200.0,320.0,6.0,4.0,2.0,2.0,Unfurnished,-7.27396,112.748192,rumah123
Dijual Rumah Second 2Lt Mojoklamgru,2400000000,150.0,200.0,4.0,3.0,2.0,1.0,Unfurnished,-7.27396,112.748192,rumah123
Dijual cepat rumah di jalan Nias,23500000000,928.0,700.0,5.0,4.0,1.0,,Unfurnished,-7.27396,112.74819,rumah123
Mojoklanggru Kidul Besar 2Lt Area Dharmahusada,10200000000,1000.0,1000.0,6.0,7.0,2.0,4.0,Unfurnished,-7.27396,112.74819,rumah123
Dijual Cepat Rumah Ngagel Wasana Siap Huni dengan Lokasi Strategis,1250000000,60.0,50.0,2.0,2.0,1.0,1.0,Unfurnished,-7.27396,112.748192,rumah123
"Rumah Lama Terawat di Bratang, Kec Gubeng Dekat Pusat Kota Surabaya Surat Ijo 2 Lantai",2000000000,297.0,250.0,6.0,2.0,2.0,2.0,Unfurnished,-7.27396,112.748192,rumah123
"Rumah Ngagel Jaya - Cocok Cafe, Pujasera, Klinik, Kos & Depot",2800000000,238.0,300.0,,3.0,1.0,,Unfurnished,-7.292659637005286,112.755213052194,rumah123
"Murah Dijual Rumah Pusat Kota Jalan Sumatra, Gubeng, Surabaya",14000000000,437.0,388.0,,6.0,1.0,2.0,Unfurnished,-7.27396,112.748192,rumah123
"Murah Dijual Rumah Ex Kantor Jalan Lombok, Gubeng. Flores Bawean",11000000000,396.0,410.0,6.0,3.0,2.0,3.0,Unfurnished,-7.27396,112.74819,rumah123
