judul_listing,harga,luas_tanah,luas_bangunan,kamar_tidur,kamar_mandi,lantai,carport,furnished,keamanan,taman,alamat_teks,latitude,longitude,url_listing,sumber_data
Jual Rumah Citraland Buona Vista 2 Lantai Siap Huni Bagus One Gate System,3600000000,150.0,193.0,4,3,2,2,Semi Furnished,1,1,"Citraland, Surabaya",-7.309354,112.656548,https://www.rumah123.com/properti/surabaya-citraland/jual-rumah-citraland-2-lantai-siap-huni-bagus-one-gate-system-hos41847397/,rumah123
Dijual Rumah 2 Lantai Modern Minimalis Bukit Palma Citraland,2000000000,120.0,170.0,4,4,2,1,Unfurnished,1,1,"Citraland, Surabaya",-7.25496941633574,112.62656209285616,https://www.rumah123.com/properti/surabaya-citraland/dijual-rumah-2-lantai-modern-minimalis-bukit-palma-citraland-hos40883763/,rumah123
Dijual Rumah Mewah Wisata Bukit Mas Strategis 5 KT,3200000000,112.0,128.0,5,3,2,2,,0,0,"Citraland, Surabaya",-7.309354,112.656548,https://www.rumah123.com/properti/surabaya-citraland/dijual-rumah-mewah-wisata-bukit-mas-strategis-5-kt-hos41712413/,rumah123
Dijual Rumah Siap Huni di Taman Puspa Raya Citraland Surabaya,2900000000,128.0,200.0,4,3,2,1,Semi Furnished,1,1,"Citraland, Surabaya",-7.2767258,112.6456814,https://www.rumah123.com/properti/surabaya-citraland/dijual-rumah-siap-huni-di-taman-puspa-raya-citraland-surabaya-hos40347489/,rumah123
Dijual Rumah 2 Lantai Citraland Nortwest Lake Cluster Depan,975000000,70.0,70.0,2,2,2,1,Unfurnished,1,1,"Citraland, Surabaya",-7.309354,112.656548,https://www.rumah123.com/properti/surabaya-citraland/dijual-rumah-2-lantai-citraland-nortwest-lake-cluster-depan-hos42045828/,rumah123
Dijual Harga Promo Rumah 2 Lantai Gress Raya Boulevard Citraland,2700000000,126.0,190.0,3,3,2,2,Unfurnished,1,1,"Citraland, Surabaya",-7.2889105,112.64498,https://www.rumah123.com/properti/surabaya-citraland/dijual-harga-promo-rumah-2-lantai-gress-raya-boulevard-citraland-hos19354923/,rumah123
Di Jual Rumah Minimalis Cluster Cristal Golf Citraland Surabaya,8600000000,280.0,475.0,3,3,2,1,Furnished,1,1,"Citraland, Surabaya",-7.309354,112.656548,https://www.rumah123.com/properti/surabaya-citraland/di-jual-rumah-minimalis-cluster-cristal-golf-citraland-surabaya-hos42249262/,rumah123
Dijual Rumah Mewah Raya Golf Citraland Surabaya,27500000000,1117.0,900.0,6,4,2,1,Unfurnished,1,0,"Citraland, Surabaya",-7.309354,112.656548,https://www.rumah123.com/properti/surabaya-citraland/dijual-rumah-mewah-raya-golf-citraland-surabaya-hos42060277/,rumah123
Dijual Rumah Mewah Bgi Citraland Surabaya,9250000000,300.0,500.0,5,6,2,2,Unfurnished,1,0,"Citraland, Surabaya",-7.309354,112.656548,https://www.rumah123.com/properti/surabaya-citraland/dijual-rumah-mewah-bgi-citraland-surabaya-hos42060476/,rumah123
Rumah Mewah Rasa Villa di Bukit Golf Mediterania Citraland Utama,9480000000,300.0,600.0,5,5,3,2,Unfurnished,1,1,"Citraland, Surabaya",-7.309354,112.656548,https://www.rumah123.com/properti/surabaya-citraland/rumah-mewah-rasa-villa-di-bukit-golf-mediterania-citraland-utama-hos39566506/,rumah123
Rumah Citraland Minamilis Dekat Graha Family Pakuwon Indah Wiyung,9200000000,300.0,500.0,5,4,3,2,Unfurnished,0,0,"Citraland, Surabaya",-7.309354,112.656548,https://www.rumah123.com/properti/surabaya-citraland/rumah-citraland-minamilis-dekat-graha-family-pakuwon-indah-wiyung-hos42099034/,rumah123
Dijual Rumah Baru Wisata Bukit Mas 2 Lantai,2910000000,96.0,122.0,5,3,2,2,,0,0,"Wiyung, Surabaya",-7.31097,112.698067,https://www.rumah123.com/properti/surabaya-wiyung/dijual-rumah-baru-wisata-bukit-mas-2-lantai-hos41713126/,rumah123
Rumah Mewah Surabaya Barat di Wisata Bukit Mas LT 96 LB 122 Full Strategis,2910000000,96.0,122.0,5,3,2,2,,0,0,"Wisata Bukit Mas, Surabaya",-7.308962,112.667053,https://www.rumah123.com/properti/surabaya-wisata-bukit-mas/rumah-mewah-surabaya-barat-di-wisata-bukit-mas-lt-96-lb-122-full-strategis-hos41713265/,rumah123
For Sale Luxury House In Wisata Bukit Mas 2 Floor 5 BR,3200000000,105.0,123.0,5,3,2,2,Unfurnished,0,0,"Wisata Bukit Mas, Surabaya",-7.308962,112.667053,https://www.rumah123.com/properti/surabaya-wisata-bukit-mas/for-sale-luxury-house-in-wisata-bukit-mas-2-floor-5-br-hos41712495/,rumah123
Dijual Rumah Elite Strategis Dekat Universitas Negeri Surabaya,3200000000,112.0,128.0,5,3,2,2,,0,0,"Surabaya Kota, Surabaya",-7.2771,112.717407,https://www.rumah123.com/properti/surabaya-surabaya-kota/dijual-rumah-elite-strategis-dekat-universitas-negeri-surabaya-hos41713030/,rumah123
Dijual Rumah 2 Lantai Wisata Bukit Mas Dekat Unesa dan National Hospital,2910000000,96.0,122.0,5,3,2,2,,0,0,"Citraland, Surabaya",-7.309354,112.656548,https://www.rumah123.com/properti/surabaya-citraland/dijual-rumah-2-lantai-wisata-bukit-mas-dekat-unesa-dan-national-hospital-hos41713220/,rumah123
Dijual Rumah Cantik Citraland New Minimalis 2 Lantai Woodland Surabaya,4300000000,153.0,240.0,5,4,2,1,Unfurnished,1,1,"Citraland, Surabaya",-7.309354,112.656548,https://www.rumah123.com/properti/surabaya-citraland/dijual-rumah-cantik-citraland-new-minimalis-2-lantai-woodland-wl-20-surabaya-hos42361245/,rumah123
Rumah Premium 2 Lantai Siap Huni Dekat Bandara Juanda,1830000000,130.0,112.0,4,3,2,2,,0,0,"Rungkut, Surabaya",-7.377194,112.707117,https://www.rumah123.com/properti/surabaya-rungkut/hunian-2-lantai-premium-modern-mewah-siap-huni-hos42068211/,rumah123
"Dijual Rumah Mewah Graha Family Surabaya Golf View, Lengkap dengan Pool",43500000000,900.0,850.0,5,5,2,2,Semi Furnished,1,1,"Citraland, Surabaya",-7.309354,112.656548,https://www.rumah123.com/properti/surabaya-citraland/dijual-rumah-mewah-graha-family-surabaya-golf-view-lengkap-dengan-pool-hos42348129/,rumah123
Rumah Murah Citraland Northwest Dekat Graha Famili Universitas Ciputra Surabaya Barat,900000000,50.0,45.0,2,2,1,1,Unfurnished,1,1,"Citraland, Surabaya",-7.309354,112.656548,https://www.rumah123.com/properti/surabaya-citraland/rumah-murah-citraland-northwest-dekat-graha-famili-universitas-ciputra-surabaya-barat-hos42332139/,rumah123
Rumah Mewah Murah Komersial Raya Citraland Gwalk Dkt Pakuwon,9500000000,330.0,550.0,4,3,3,2,Semi Furnished,0,1,"Citraland, Surabaya",-7.3095071760373,112.65693144247689,https://www.rumah123.com/properti/surabaya-citraland/rumah-mewah-murah-jalan-raya-citraland-gwalk-dkt-pakuwon-graha-hos40840309/,rumah123
Termurah Rumah Minimalis Gress 2.5 LT Lux Citraland Gwalk Dekat Pakuwon,9250000000,300.0,500.0,5,6,2,2,Unfurnished,0,1,"Citraland, Surabaya",-7.284093,112.656721,https://www.rumah123.com/properti/surabaya-citraland/termurah-rumah-minimalis-gress-25-lt-lux-citraland-gwalk-dekat-pakuwon-hos41989447/,rumah123
Rumah Komersial Murah Minimalis Lux Raya Telaga Utama Citraland,11000000000,480.0,300.0,4,4,2,2,Unfurnished,0,1,"Citraland, Surabaya",-7.2912839897673365,112.64785703250027,https://www.rumah123.com/properti/surabaya-citraland/termurah-rumah-komersial-minimalis-mewah-hitung-tanah-citraland-kembar-raya-telaga-hos41930010/,rumah123
Rumah Baru American Style Citraland Siap Huni,4650000000,162.0,251.0,5,4,3,2,,0,0,"Citraland, Surabaya",-7.309354,112.656548,https://www.rumah123.com/properti/surabaya-citraland/rumah-baru-american-style-citraland-siap-huni-hos42361881/,rumah123
Jual Rugi Rumah Oakwood Citraland Adem Hadap Selatan + Bonus,2890000000,120.0,143.0,3,3,2,1,Unfurnished,1,0,"Citraland, Surabaya",-7.3093542,112.6565456,https://www.rumah123.com/properti/surabaya-citraland/jual-rugi-rumah-oakwood-citraland-adem-hadap-selatan-bonus-hos41966509/,rumah123
Rumah Baru Gress di Alam Hijau Citraland Dekat Pusat Kuliner,6850000000,210.0,405.0,4,4,3,2,Unfurnished,0,0,"Citraland, Surabaya",-7.3093542,112.6565456,https://www.rumah123.com/properti/surabaya-citraland/rumah-baru-gress-di-alam-hijau-citraland-dekat-pusat-kuliner-hos41979299/,rumah123
2 Lantai Minimalis Rumah Greenlake Citraland - Nego Aja,2200000000,120.0,139.0,4,3,2,1,Unfurnished,1,0,"Citraland, Surabaya",-7.3093542,112.6565456,https://www.rumah123.com/properti/surabaya-citraland/2-lantai-minimalis-rumah-greenlake-citraland-nego-aja-hos42176520/,rumah123
Rumah Citraland Utama American Modern Style - Semi Furnish,4900000000,162.0,251.0,5,4,2,2,Semi Furnished,1,0,"Citraland, Surabaya",-7.3093542,112.6565456,https://www.rumah123.com/properti/surabaya-citraland/rumah-citraland-utama-american-modern-style-semi-furnish-hos41931311/,rumah123
Rumah Somerset Citraland Baru Gress Mewah Konsep Villa,9950000000,300.0,600.0,5,5,3,2,Unfurnished,1,0,"Citraland, Surabaya",-7.3093542,112.6565456,https://www.rumah123.com/properti/surabaya-citraland/rumah-somerset-citraland-baru-gress-mewah-konsep-villa-hos41931270/,rumah123
Rumah Wisata Bukit Mas Minimalis Harga bisa Nego Tipis,2700000000,180.0,180.0,3,2,2,1,Unfurnished,1,0,"Wiyung, Surabaya",-7.31097,112.69807,https://www.rumah123.com/properti/surabaya-wiyung/rumah-wisata-bukit-mas-minimalis-harga-bisa-nego-tipis-hos41668912/,rumah123
"Rumah Alam Hijau Citraland Dekat Pasar Modern, Radial Road, Pusat Kuliner",3200000000,120.0,195.0,4,4,2,1,Unfurnished,1,0,"Citraland, Surabaya",-7.3093542,112.6565456,https://www.rumah123.com/properti/surabaya-citraland/rumah-alam-hijau-citraland-dekat-pasar-modern-radial-road-pusat-kuliner-hos41866836/,rumah123
Rumah Queenstown Citraland Baru Gress Selangkah ke Pusat Kuliner Citraland,6650000000,180.0,420.0,4,5,3,2,Unfurnished,1,0,"Citraland, Surabaya",-7.3093542,112.6565456,https://www.rumah123.com/properti/surabaya-citraland/rumah-queenstown-citraland-baru-gress-selangkah-ke-pusat-kuliner-citraland-hos41471499/,rumah123
Rumah Citraland Alam Hijau Gress American Style Semi Furnish,3300000000,120.0,137.0,5,3,2,1,Unfurnished,1,0,"Citraland, Surabaya",-7.3093542,112.6565456,https://www.rumah123.com/properti/surabaya-citraland/rumah-citraland-alam-hijau-gress-american-style-semi-furnish-hos41582392/,rumah123
