judul_listing,harga,luas_tanah,luas_bangunan,kamar_tidur,kamar_mandi,lantai,carport,furnished,keamanan,taman,alamat_teks,latitude,longitude,url_listing,sumber_data,wilayah_scraping
Dijual Rumah Komersil Tengah Kota Surabaya,23000000000,571.0,600.0,9.0,3.0,2,2.0,Unfurnished,0,0,"Gubeng, Surabaya",-7.28917,112.734,https://www.rumah123.com/properti/surabaya-gubeng/dijual-rumah-komersil-tengah-kota-surabaya-hos41538100/,rumah123,Surabaya Timur
"Dijual Rumah Baru Gress Dharmahusada Indah, Surabaya Timur",18000000000,600.0,450.0,4.0,5.0,2,2.0,Unfurnished,1,0,"Gubeng, Surabaya",-7.27396,112.748192,https://www.rumah123.com/properti/surabaya-gubeng/dijual-rumah-baru-gress-dharmahusada-indah-surabaya-timur-hos42248111/,rumah123,Surabaya Timur
"Rumah untuk Usaha Jl Sumbawa, Gubeng Sby Utk Kantor, Usaha Lain2",18000000000,571.0,638.0,17.0,3.0,2,2.0,Unfurnished,0,1,"Gubeng, Surabaya",-7.27396,112.74819,https://www.rumah123.com/properti/surabaya-gubeng/rumah-untuk-usaha-jl-sumbawa-gubeng-sby-utk-kantor-usaha-lain2-hos18619222/,rumah123,Surabaya Timur
Rumah Hitung Tanah Jln Biliton Pusat Kota Dimensi 12X45 Meter Bangunan 1 Lantai Dekat Stasiun Gubeng,14000000000,540.0,500.0,2.0,1.0,1,4.0,Unfurnished,0,0,"Gubeng, Surabaya",-7.271999100118336,112.75054085070241,https://www.rumah123.com/properti/surabaya-gubeng/rumah-hitung-tanah-jln-biliton-pusat-kota-dimensi-12x45-meter-bangunan-1-lantai-dekat-stasiun-gubeng-hos41856117/,rumah123,Surabaya Timur
"Rumah Komersial Gubeng,Biliton Kertajaya",6600000000,440.0,550.0,5.0,4.0,2,1.0,Unfurnished,0,0,"Gubeng, Surabaya",-7.27396,112.748192,https://www.rumah123.com/properti/surabaya-gubeng/rumah-komersial-gubengbiliton-kertajaya-hos42417513/,rumah123,Surabaya Timur
"Murah Siap Huni Mojoarum, Dekat Unair, Galaxy Mall, Merr",3250000000,300.0,500.0,2.0,4.0,2,,Unfurnished,0,0,"Gubeng, Surabaya",-7.27396,-7.27396,https://www.rumah123.com/properti/surabaya-gubeng/murah-siap-huni-mojoarum-dekat-unair-galaxy-mall-merr-hos42425897/,rumah123,Surabaya Timur
"Tinggal 3 Unit ❗❗Dijual Rumah Japandi Modern, Semi Furnished, Siap Huni",2750000000,100.0,175.0,3.0,3.0,2,2.0,Semi Furnished,1,0,"Gubeng, Surabaya",-7.27396,112.748192,https://www.rumah123.com/properti/surabaya-gubeng/tinggal-3-unit-dijual-rumah-japandi-modern-semi-furnished-siap-huni-hos42293593/,rumah123,Surabaya Timur
Jual Rumah Mewah di Graha Family,21000000000,731.0,1000.0,5.0,5.0,5,1.0,Unfurnished,1,0,"Gubeng, Surabaya",-7.27396,-7.27396,https://www.rumah123.com/properti/surabaya-gubeng/jual-rumah-mewah-di-graha-family-hos41273353/,rumah123,Surabaya Timur
"Dijual Rumah L200m Mojoklangru Surabaya Dekat Rs Mitra, Stasiun - Bandara",3700000000,200.0,320.0,6.0,4.0,2,2.0,Unfurnished,0,0,"Gubeng, Surabaya",-7.27396,112.748192,https://www.rumah123.com/properti/surabaya-gubeng/dijual-rumah-l200m-mojoklangru-surabaya-dekat-rs-mitra-stasiun-bandara-hos42224750/,rumah123,Surabaya Timur
Dijual Rumah Second 2Lt Mojoklamgru,2400000000,150.0,200.0,4.0,3.0,2,1.0,Unfurnished,1,0,"Gubeng, Surabaya",-7.27396,112.748192,https://www.rumah123.com/properti/surabaya-gubeng/dijual-rumah-second-2lt-mojoklamgru-hos42270481/,rumah123,Surabaya Timur
Dijual cepat rumah di jalan Nias,23500000000,928.0,700.0,5.0,4.0,1,,Unfurnished,0,0,"Gubeng, Surabaya",-7.27396,112.74819,https://www.rumah123.com/properti/surabaya-gubeng/dijual-cepat-rumah-di-jalan-nias-hos15017530/,rumah123,Surabaya Timur
Lelang Rumah 2 Lantai | Jalan Jojoran Baru 2/41,500000000,162.0,162.0,,,1,,Unfurnished,0,0,"Gubeng, Surabaya",-7.27396,112.748192,https://www.rumah123.com/properti/surabaya-gubeng/lelang-rumah-2-lantai-jalan-jojoran-baru-241-hos42366081/,rumah123,Surabaya Timur
