Fitur,Importance
luas_bangunan,0.18003875
kamar_mandi,0.09141699
luas_tanah,0.08595313
kecamatan_Rungkut,0.04631364
total_ruangan,0.041968968
kecamatan_Mulyorejo,0.037123606
kecamatan_Benowo,0.029617835
lantai,0.029369636
kecamatan_Asemrowo,0.029288495
kecamatan_Gubeng,0.026926495
kecamatan_Sambikerep,0.026276663
kecamatan_Tenggilis Mejoyo,0.025553467
jarak_ke_pusat_kota,0.021522224
kecamatan_Pakal,0.01981417
latitude,0.017719345
kecamatan_Tambaksari,0.01762221
kecamatan_Tegalsari,0.017353125
rasio_bangunan_tanah,0.015649967
longitude,0.015318397
furnished_Unfurnished,0.01484463
kecamatan_Karangpilang,0.012872504
kecamatan_Wonokromo,0.012562836
keamanan,0.012322141
furnished_Furnished,0.012210083
kecamatan_Jambangan,0.012160409
kecamatan_Sukomanunggal,0.012150607
kecamatan_Kenjeran,0.012056999
taman,0.0113634495
carport,0.009994599
kecamatan_Bulak,0.0096908845
kecamatan_Sawahan,0.0090718595
kecamatan_Genteng,0.00900415
kamar_tidur,0.008941462
kecamatan_Wiyung,0.007800159
kecamatan_Dukuh Pakis,0.0072086616
kecamatan_Sukolilo,0.0066925446
kecamatan_Gunung Anyar,0.006631669
kecamatan_Lakarsantri,0.0057562804
kecamatan_Pabean Cantian,0.005682064
furnished_Semi Furnished,0.0047670077
kecamatan_Bubutan,0.004524573
kecamatan_Tandes,0.0043338733
kecamatan_Gayungan,0.0042662565
kecamatan_Wonocolo,0.0042638835
kecamatan_Simokerto,0.003979331
kecamatan_Krembangan,0.0
